id_mgs	MQB_005	MQB_014	MQB_023	MQB_032	MQB_041	MQB_059	MQB_068	MQB_086	MQB_095	MQB_005_l2	MQB_014_l3	MQB_023_l2	MQB_032_l2	MQB_059_l2	MQB_068_l2	MQB_086_l2	MQB_095_l2
"msp_0508"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0509"	0	0	0.002999986663405794	0	1.2101073000833383e-4	0	0	0.0016015038036447681	0	0	0	0.002927073304776546	3.1449008329321966e-4	0	0	0.0016709390263709022	0
"msp_0510"	0	7.216226406270424e-4	1.208865176736182e-5	0	0	0	0	1.23192634094945e-4	3.7809977414664535e-4	0	7.214479322027894e-4	1.547347991623229e-5	0	0	0	1.0674394191897938e-4	3.2864689294703715e-4
"msp_0511"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0512"	0	0	0	0	0.001193854590704351	0.013980881781855073	0	0	0	0	0	1.6383378074584015e-5	0	0.013268150363477062	1.8608098219220472e-4	0	0
"msp_0513"	0	0	0	0	2.0016808058553133e-4	0.0012738028422863232	0	0	0	0	0	0	0	0.0013191404134283136	2.5301203146642703e-5	0	0
"msp_0514"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0515"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0516"	0	0	0	0	0	3.609216400587991e-5	0	0	0	0	0	0	0	4.542104741455694e-5	0	0	0
"msp_0517"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0518"	3.252478480176233e-4	0	0	6.90371494118252e-5	5.360400790613438e-4	0	1.5525334125537858e-4	0	0	2.6419332061614374e-4	0	0	6.938028539130998e-5	1.4767057954343079e-5	1.1601778805483575e-4	0	0
"msp_0519"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0520c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0521"	0	0	0	0.0016409824703397778	0	0.002203642280813923	6.538193427885794e-4	0	0	0	5.720552830754504e-6	0	0.001571386795981311	0.0023478285941661192	7.12840500366608e-4	0	8.611599186503426e-5
"msp_0522"	1.0316925151579212e-5	1.7772355108052544e-4	3.137143173538654e-5	3.828400607957274e-5	0	0	1.3909977617736322e-5	0	3.526077714129284e-5	1.1627784367457802e-5	1.7199068559515724e-4	3.369226020097219e-5	3.962996687082761e-5	0	9.223201211611672e-6	6.267888527509968e-6	3.652922224565067e-5
"msp_0523"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0524"	0	0	0	7.601595596430518e-5	3.4923670867343005e-5	0	0	1.658156104493985e-5	0	0	0	0	5.284802603918959e-5	0	6.9937152300993765e-6	1.3003501317462876e-5	0
"msp_0525"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0526"	1.102861717316463e-4	0	0	0	0	0	0	0	0	1.027872139373146e-4	0	0	0	0	0	0	0
"msp_0527"	2.9015969844082853e-5	0	0	0	0.014105066002125539	3.652362098917105e-4	0	0	0	2.3284238753297446e-5	0	1.648636264766516e-4	4.27124669604685e-5	3.1257902657815407e-4	8.1789509401708e-6	0	0
"msp_0528"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0529"	0	0	0	0	0	0	0	0	0	0	3.2871372937739356e-5	0	0	0	0	0	0
"msp_0530"	0.0014720787335003142	0	0	2.0136544667213036e-4	2.2805118896296057e-4	0	1.222594894583007e-4	0.0025941895831362058	0.0013614373882748772	0.001530798361298979	0	0	2.1109705094803343e-4	2.582124590832461e-5	9.87927540745867e-5	0.0025805611389525833	0.0011586525742730905
"msp_0531"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0532"	0	0	0	0	0	4.319743135727222e-4	0	0	0	0	0	0	0	4.102265127188092e-4	0	0	0
"msp_0533"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0534"	0	0	0	0	0.0018892308587125887	0.0010308725648986974	7.654723399141987e-4	0	0	9.826828967157627e-6	0	3.069799213970787e-5	0	0.001017985915690908	8.510504910061144e-4	0	8.685135271417937e-5
"msp_0535"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
